연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
92,2,용두,E/S,9,1809-053,B2(대)-지상,4번출구 하행,B2(대)-지상
93,2,용두,E/S,10,1809-054,지상-B2(대),4번출구 상행,지상-B2(대)
94,2,용두,E/S,11,1809-055,B2(대)-지상,5번출구 하행,B2(대)-지상
95,2,용두,E/S,12,1809-056,지상-B2(대),5번출구 상행,지상-B2(대)
96,2,건대입구,E/S,1,1801-062,지상-F2(대),6번출구 하행,지상-F2(대)
97,2,건대입구,E/S,2,1801-063,F2(대)-지상,6번출구 상행,F2(대)-지상
98,2,구의,E/S,1,1809-196,지상-F2(대),1번출구 하행,지상-F2(대)
99,2,구의,E/S,2,1809-197,F2(대)-지상,1번출구 상행,F2(대)-지상
100,2,구의,E/S,3,1803-426,지상-F2(대),4번출구 하행,지상-F2(대)
101,2,구의,E/S,4,1803-427,F2(대)-지상,4번출구 상행,F2(대)-지상
